location,bhk,total_sqft,bath,price
Electronic City Phase II,3,1056,3,150
Chikka Tirupathi,3,2600,3,149
Uttarahalli,3,1440,3,150
Lingadheeranahalli,2,1521,2,40
Kothanur,2,1200,2,83
Whitefield,2,1170,2,40
Old Airport Road,3,2732,2,65
Rajaji Nagar,2,3300,2,43
Marathahalli,2,1310,2,36
Gandhi Bazar,3,1020,2,76
Whitefield,2,1800,2,58
Whitefield,3,2785,3,75
7th Phase JP Nagar,2,1000,2,47
Gottigere,2,1100,2,40
Sarjapur,1,2250,1,27
Mysore Road,3,1175,2,70
Bisuvanahalli,1,1180,1,25.5
Raja Rajeshwari Nagar,1,1540,1,28
Ramakrishnappa Layout,1,2770,1,25.25
Manayata Tech Park,1,1100,1,25.25
Kengeri,3,600,2,480
Binny Pete,3,1755,3,85
Thanisandra,1,2800,1,45
Bellandur,4,1767,4,150
 Thanisandra,2,510,2,67
Mangammanapalya,4,1250,4,428
Electronic City,3,660,3,194
Whitefield,3,1610,2,235
Ramagondanahalli,3,1151,2,130
Electronic City,2,1025,2,148
Yelahanka,4,2100 - 2850,4,413
Bisuvanahalli,4,1075,4,368
Hebbal,2,1760,2,110
Raja Rajeshwari Nagar,2,1693,2,65.5
Kasturi Nagar,4,1925,3,300
Kanakpura Road,3,700,3,210
Electronics City Phase 1,2,1070,2,45
Kundalahalli,4,1724,5,500
Chikkalasandra,3,1290,3,167
Uttarahalli,3,1143,4,210
Murugeshpalya,3,1296,3,225
Sarjapur  Road,2,1254,2,100
Ganga Nagar,2,600,2,93
Yelahanka,2,660,2,180
Kanakpura Road,1,1330.74,2,50
HSR Layout,3,600,3,131
Doddathoguru,3,970,3,210
Whitefield,2,1459,2,88.5
KR Puram,2,800,2,86
Himagiri Meadows,2,869,2,85
Adarsh Nagar,3,1270,3,175
Bhoganhalli,2,1670,2,85
Whitefield,2,2010,2,75
Lakshminarayana Pura,2,1185,2,67
Yelahanka,2,1600,2,55
Begur Road,2,1200,2,56
Devanahalli,4,3010 - 3410,4,301
Ramakrishnappa Layout,3,1500,3,90
Murugeshpalya,3,1407,3,90
Govindaraja Nagar Ward,3,840,3,110
Tharabanahalli,3,4395,3,223
Ganga Nagar,2,845,2,97
Whitefield,5,5700,4,200
Varthur,2,1160,1,55
Bommanahalli,2,3000,2,78
Doddathoguru,2,1100,2,42.5
Gunjur,3,1140,2,50.75
Marathahalli,2,1220,2,40.25
Devarachikkanahalli,3,1350,2,47.25
Kanakpura Road,3,1005,2,47.25
Double Road,2,500,2,41
Begur Road,3,1358,3,69
Hegde Nagar,3,1569,2,47.25
Haralur Road,2,1240,2,40.25
Hennur Road,4,2089,4,220
Kothannur,4,1206,3,230
Kalena Agrahara,5,1150,4,325
Cholanayakanahalli,2,2511,2,80
Kaval Byrasandra,2,460,2,90
ISRO Layout,2,4400,2,95
Kodanda Reddy Layout,3,1660,3,140
Hennur Road,3,2957 - 3450,3,240
Yelahanka,3,1326,3,270
Garudachar Palya,4,1325,4,345
EPIP Zone,3,1499,3,240
Hegde Nagar,3,3000,2,190
Kanakpura Road,2,1665,2,150
Dasanapura,9,708,9,500
Kasavanhalli,3,1060,3,140
Rajaji Nagar,2,710,2,97
Sanjay nagar,2,1000,2,38.9
Electronic City,2,1000,2,38
 Mysore Highway,3,1450,3,185
ISRO Layout,4,1200,4,333
Thanisandra,4,1296,4,120
Domlur,3,1540,3,220
Kengeri,3,2894,3,185
Sarjapura - Attibele Road,2,1330,2,56
Devasthanagalu,3,1200,2,70
T Dasarahalli,2,1200,2,69
Yeshwanthpur,2,2502,2,48
Chandapura,2,650,2,60
Kothanur,2,2400,3,52.5
Green View Layout,2,1007,2,62.8
Shantiniketan Layout,2,1200,2,63
Peenya,3,966,2,100
Nagarbhavi,2,1630,2,60
Rajaji Nagar,3,1640,2,100
Jalahalli West,5,782,5,110
Devanahalli,1,1260,1,30
Lakshmiamma Garden,2,1800,2,65
Byatarayanapura,2,1413,2,62.8
Whitefield,2,1116,2,48
Electronic City,3,1530,2,75
Ramamurthy Nagar,1,3700,1,23.5
Sarjapur  Road,2,2497,2,51
Kengeri,2,1540,2,57
Thanisandra,2,1436,2,68
Malleshwaram,2,1100,2,61.8
Hennur Road,5,276,5,170
Thanisandra,2,1427,2,53
Akshaya Nagar,2,2061,2,54
Hebbal,2,3067 - 8156,2,42
Shampura,2,2650,2,57
Devanahalli,2,1282,2,60
Kadugodi,2,1050,2,74
LB Shastri Nagar,2,1600,2,80
Vajarahalli,4,945,4,250
Hormavu,3,1500,3,100
Vishwapriya Layout,2,950,2,65
Peenya,3,1870,3,200
Sarjapur,2,1600,2,63
Electronic City,2,880,2,60
Ramaswamy Palya - Kammanahalli Main Road,2,1200,2,80
Kudlu Gate,3,1535,3,200
Kanakpura Road,3,950,3,131
Devanahalli,3,1360,2,135
8th Phase JP Nagar,2,1042 - 1105,2,75
Bommasandra Industrial Area,2,1280,2,88
Chandra Layout,2,1260,2,110
Hennur Road,3,5000,3,400
Yelahanka,5,3050,3,528
Kasavanhalli,3,1563.05,3,408
ISRO Layout,3,1000,2,293
Anandapura,2,1167,2,72
Vishveshwarya Layout,2,4000,2,93
Kothanur,3,1828,2,100
Kengeri Satellite Town,3,890,3,150
Basavanapura,2,1612,2,94
Dinnur,2,1034,2,82
Mysore Road,3,1710,2,95
Kannamangala,3,957,3,160
 Devarachikkanahalli,2,1250,2,71
Sanjeevini Nagar,2,2795,2,46
Hulimavu,2,1125,2,50.49
Electronic City Phase II,3,1020,2,100
Kalena Agrahara,2,1200,2,49.98
Thanisandra,3,1735,2,96
Thanisandra,3,2050,3,120
Mahalakshmi Layout,2,3750,2,69
Yarandahalli,2,1350,2,72
Hosa Road,3,1063,3,115
Keshava Nagar,2,1904,2,83
Whitefield,4,4200,4,188
RMV Extension,3,2000,3,190
Sarjapur,3,1145 - 1340,2,110
Tejaswini Nagar,3,1425,3,140
Electronic City,3,1500,2,120
Electronic City,3,1060,3,150
Jai Bheema Nagar,3,1470,3,120
Kothnur Narayanapura,2,1300,2,82.5
Attibele,2,450,2,90
Electronic City,2,1152,2,75
Electronic City,3,1350,3,89.13
CV Raman Nagar,2,1550,2,73
CHIKKATIRUPATHI,3,1500,3,100
Kumaraswami Layout,2,600,2,50
Nagavara,2,400,2,87
Malleshwaram,3,705,3,110
Electronic City,2,770,2,42
Hulimavu,3,1242,3,117
Hebbal Kempapura,3,1700,3,150
Thanisandra,2,2144,2,61.33
Vijayanagar,2,1704,2,53
Electronic City,3,1070,3,125
8th block Koramangala,3,1846,2,135
Jakkuru Layout,2,1340,2,59
Electronic City,3,1025,3,155
KR Puram,2,1015 - 1540,2,61
Marathahalli,3,1200,2,100
Kanakpura Road,3,2250,3,110
Pattandur Agrahara,2,1550,2,62.5
Bellandur,2,1200,2,70.65
Ejipura,2,1800,2,75
Marathahalli,3,1200,3,125
Yelahanka,3,1327,2,97
Kothanur,2,1186,2,65
MS Pallya,2,1783,3,60
HSR Layout,3,1400,3,120
Nagasandra,3,980,3,117
EPIP Zone,2,1285,2,77
Langford Town,2,912,2,75
Whitefield,2,1225,2,75
Whitefield,3,1075,2,95
Kadugodi,3,1260,3,130
Yelahanka,2,1282,2,68
Kogilu,2,1909,2,60
Panathur,3,1359,3,125
Nagondanahalli,2,1207,2,77.47
Padmanabhanagar,2,1736,2,80
1st Block Jayanagar,3,2850,3,122
Kammasandra,2,1595,2,85
"Off Sarjapur Road, ",3,1798,3,130
Electronics City Phase 1,2,1475,2,77.44
Tala Cauvery Layout,3,1580,3,112
Dasarahalli,3,1295,3,150
Magadi Road,3,3600,3,145
Electronic City,3,589,2,110
Ngef Layout,3,1415,3,118
Sarjapur  Road,3,1787,2,88
Sarjapur  Road,3,1787,2,102
Koramangala,3,1475,2,110
"Lakshminarayanapura, Electronic City Phase 2",1,2000,1,47
Sarjapur  Road,2,984,2,50
Devanahalli,1,1520 - 1740,1,60
Muthurayya Swamy Layout,3,2405,2,102
7th Phase JP Nagar,2,1080,2,60
Shantiniketan Layout,2,1500,2,57
Hebbal,3,1900,3,90
Dommasandra,2,805,2,108
Budigere,2,1153,2,110
Dodda Nekkundi Extension,2,1148,2,54.005
Mylasandra,2,1110,2,42.47
Electronic City,3,1100,3,73.31
Kalyan nagar,2,1290,2,43.91
Dr Shivarama Karantha Nagar,3,1500,3,80
Bank Of Baroda Colony,4,1080,4,130
Vijayanagar,2,1933,2,38
Ramamurthy Nagar,2,3500,2,34.5
Kullappa Colony,2,1060,2,35
Chandapura,2,645,2,42.47
Mukkutam Nagar,1,2600,1,31
Chandapura,2,645,2,35
Ashwath Nagar,4,1644,4,92
Ncpr Industrial Layout,2,1285,2,39.33
Electronic City,2,1200,2,40.9
Electronic City,3,910,3,72.02
Kothanur,3,1577,4,90
Meenakunte,1,4050,1,30
OMBR Layout,2,2420,2,36.94
Chandapura,2,800,2,35
Anand Nagar,2,1060,2,43.55
7th Phase JP Nagar,3,1270,2,65
Shree Ananth Nagar Layout,3,900,2,83
Kundalahalli Colony,4,1280,4,115
Horamavu Agara,2,1200,2,43.55
Sarjapur  Road,2,1025,2,62
Electronic City,2,1108,2,59
MCECHS  layout,2,1200,2,44
Coffee Board Layout,2,3045,2,59
Ambedkar Nagar,2,2900,2,80
Vijayanagar,3,1500,3,165
Raja Rajeshwari Nagar,2,1295,2,48
Budigere,3,1162,3,80
Sarjapur  Road,3,1035,3,300
Attibele,2,1600,1,233
KUDLU MAIN ROAD,2,1464,2,135
Hennur Road,3,1866,3,290
Geleyara Balaga Layout,1,700,1,150
Kalena Agrahara,4,1804,4,240
Sarjapur,2,913,2,50
Talaghattapura,2,1868,2,45
Kengeri Satellite Town,4,883,4,290
Sundara Nagar,2,900,2,56
Kogilu,2,1664,2,42
Hegde Nagar,2,2026,2,50
Balagere,2,1210,2,43
Meenakunte,2,4111,2,37
Kadugodi,2,1762,2,39
Jigani,2,1252,2,71
Gollarapalya Hosahalli,3,861,2,93
7th Phase JP Nagar,2,1420,2,60
Srirampura,2,1450,2,80
Electronics City Phase 1,2,1490,2,52.36
Bisuvanahalli,3,1075,2,88
Old Madras Road,3,1425,3,88
Kalena Agrahara,2,1200,2,45
Kaggadasapura,2,1280,2,69
Silver Springs Layout,1,1084,2,35
Chandapura,1,1015,2,85
Kanakpura Road,2,1017,2,45
Haralur Road,2,1027,2,42
Electronic City Phase II,2,1069,2,65
Hebbal,2,1349,2,55
9th Phase JP Nagar,2,1005,2,64
Jakkur,2,1417,2,60
TC Palaya,2,1475,2,55
Maruthi Sevanagar,3,950,2,85
RMV 2nd Stage,2,2000,2,46.79
Giri Nagar,3,880,3,110
Sarjapur  Road,2,1863,2,48.38
Singasandra,3,1010,2,80
Kalena Agrahara,3,1425,2,50
Vijayanagar,2,1450,2,38.45
Kothanur,2,1847,2,38.49
AECS Layout,2,1100,2,41
Kanakpura Road,2,525,2,38.5
Mallasandra,2,1665,2,40.39
Begur,1,1664,2,30
JP Nagar,2,1850,2,35
Panathur,2,1438,2,32.54
Sunder Ram Shetty Nagar,2,1560,2,39.59
Yelahanka,2,1350,2,41.82
Kanakpura Road,2,1550,2,40.39
Malleshpalya,6,1140,6,81
Srirampura,2,1200,2,32.54
Kodathi,2,850,2,46.33
Whitefield,2,1280,1,32.6
Munnekollal,2,1170,2,38.92
Motappa Layout,2,1113,2,41
Hennur Road,2,1385,2,40.8
Electronic City,2,1128,2,40.8
Marathahalli,1,1200,1,72
Akshaya Vana,3,1200,1,120
Rajaji Nagar,3,2390,3,113
Giri Nagar,2,2400,2,51
Haralur Road,2,1464,2,57
Manayata Tech Park,2,1200,2,54
Kaval Byrasandra,2,1200,2,58
Kaggalipura,3,1150,3,85.1
Basavanna Nagar,3,1645,3,120
Sarjapur  Road,3,1000,2,75
Haralur Road,3,2650,2,85
6th Phase JP Nagar,3,1192,2,80
Ulsoor,3,2135,3,85
Whitefield,3,1173,3,85.5
Uttarahalli,2,1020,2,60
