location,bhk,total_sqft,,balcony
Electronic City Phase II,3,1672,,2
Chikka Tirupathi,3,1750,,3
Uttarahalli,3,1750,,2
Lingadheeranahalli,2,1250,,2
Kothanur,2,1200,,2
Whitefield,2,1170,,2
Old Airport Road,3,1425,,2
Rajaji Nagar,2,947,,2
Marathahalli,2,1130,,2
Gandhi Bazar,3,1417,,2
Whitefield,2,1230,,1
Whitefield,3,1705,,2
7th Phase JP Nagar,2,1116,,1
Gottigere,2,991,,2
Sarjapur,1,550,,1
Mysore Road,3,1450,,2
Bisuvanahalli,1,700,,1
Raja Rajeshwari Nagar,1,440,,0
Ramakrishnappa Layout,1,510,,0
Manayata Tech Park,1,510,,1
Kengeri,3,2400,,0
Binny Pete,3,1540,,2
Thanisandra,1,600,,0
Bellandur,4,3150,,2
 Thanisandra,2,1250,,1
Mangammanapalya,4,2850,,1
Electronic City,3,1630,,2
Whitefield,3,1875,,3
Ramagondanahalli,3,1200,,0
Electronic City,2,1235,,2
Yelahanka,4,2750,,0
Bisuvanahalli,4,2450,,2
Hebbal,2,1415,,3
Raja Rajeshwari Nagar,2,860,,2
Kasturi Nagar,4,3000,,3
Kanakpura Road,3,2350,,2
Electronics City Phase 1,2,1000,,2
Kundalahalli,4,3000,,3
Chikkalasandra,3,1875,,1
Uttarahalli,3,2065,,1
Murugeshpalya,3,2059,,2
Sarjapur  Road,2,1394,,1
Ganga Nagar,2,1077,,2
Yelahanka,2,1566,,0
Kanakpura Road,1,840,,2
HSR Layout,3,1590,,3
Doddathoguru,3,2180,,2
Whitefield,2,1180,,2
KR Puram,2,1200,,1.584375738
Himagiri Meadows,2,1394,,2
Adarsh Nagar,3,2077,,3
Bhoganhalli,2,1205,,1
Whitefield,2,900,,1
Lakshminarayana Pura,2,1400,,1
Yelahanka,2,1200,,2
Begur Road,2,940,,1
Devanahalli,4,3000,,2
Ramakrishnappa Layout,3,1480,,2
Murugeshpalya,3,1480,,2
Govindaraja Nagar Ward,3,1550,,3
Tharabanahalli,3,1718,,3
Ganga Nagar,2,1000,,1
Whitefield,5,2800,,2
Varthur,2,1000,,1
Bommanahalli,2,1040,,2
Doddathoguru,2,850,,1
Gunjur,3,1450,,1
Marathahalli,2,1150,,1
Devarachikkanahalli,3,1350,,2
Kanakpura Road,3,1350,,2
Double Road,2,900,,2
Begur Road,3,1681,,3
Hegde Nagar,3,1350,,2
Haralur Road,2,1150,,1
Hennur Road,4,1500,,2
Kothannur,4,1500,,2
Kalena Agrahara,5,2400,,1
Cholanayakanahalli,2,1056,,1
Kaval Byrasandra,2,1320,,3
ISRO Layout,2,1300,,3
Kodanda Reddy Layout,3,1650,,2
Hennur Road,3,2150,,3
Yelahanka,3,2100,,1
Garudachar Palya,4,4500,,3
EPIP Zone,3,2005,,2
Hegde Nagar,3,1567.2,,0
Kanakpura Road,2,1225,,2
Dasanapura,9,4500,,1.584375738
Kasavanhalli,3,1800,,3
Rajaji Nagar,2,1269,,2
Sanjay nagar,2,1070,,2
Electronic City,2,1080,,2
 Mysore Highway,3,2401,,2
ISRO Layout,4,3900,,1.584375738
Thanisandra,4,1550,,1
Domlur,3,2100,,3
Kengeri,3,2400,,2
Sarjapura - Attibele Road,2,1206,,2
Devasthanagalu,3,1270,,2
T Dasarahalli,2,1312,,3
Yeshwanthpur,2,1100,,2
Chandapura,2,1075,,2
Kothanur,2,1150,,3
Green View Layout,2,1256,,1
Shantiniketan Layout,2,1207,,2
Peenya,3,1725,,2
Nagarbhavi,2,1440,,2
Rajaji Nagar,3,1700,,3
Jalahalli West,5,2500,,1.584375738
Devanahalli,1,600,,1
Lakshmiamma Garden,2,1390,,2
Byatarayanapura,2,1256,,1
Whitefield,2,1000,,0
Electronic City,3,1350,,1
Ramamurthy Nagar,1,552,,1
Sarjapur  Road,2,1200,,2
Kengeri,2,1030,,2
Thanisandra,2,1200,,1
Malleshwaram,2,1190,,2
Hennur Road,5,4000,,2
Thanisandra,2,1080,,1
Akshaya Nagar,2,1041,,2
Hebbal,2,812,,1
Shampura,2,1010,,2
Devanahalli,2,1075,,2
Kadugodi,2,1192,,2
LB Shastri Nagar,2,1180,,3
Vajarahalli,4,3245,,1.584375738
Hormavu,3,1645,,3
Vishwapriya Layout,2,1140,,2
Peenya,3,2040,,1.584375738
Sarjapur,2,1213,,1
Electronic City,2,1216,,2
Ramaswamy Palya - Kammanahalli Main Road,2,1460,,1.584375738
